正字,異體字
一,壹弌
丁,
七,柒
万,卍萬
丈,
三,叁
上,丄
下,丅
不,
丐,匃
丑,醜
且,
丕,
世,丗卋
丘,㐀丠坵
丙,
丞,
丟,丢
両,两兩
並,并併竝
丫,
中,
丰,豐
串,
丸,
丹,
主,
丼,
乃,廼迺
久,乆
么,幺麼麽
之,
乍,
乎,
乏,
乒,
乓,
乖,
乘,乗
乙,
九,玖
乞,
也,
乩,
乳,
乾,干亁榦
亂,乱
了,暸瞭
予,余豫
事,亊
二,弍貮貳
于,扵於
云,雲
互,
五,㐅
井,
亙,亘
些,
亞,亚亜
亟,
亡,亾兦
亢,
交,
亥,
亦,
亨,
享,亯
京,亰
亭,
亮,
人,亻
什,
仁,忈
仃,停
仄,
仆,僕
仇,讎讐
今,
介,
仍,
仔,
仕,
他,她牠
仗,
付,
仙,僊
仞,仭
仟,千阡
代,
令,
以,㠯
仰,
仲,
仳,
件,
价,價
任,
份,彬
仿,倣彷髣
企,
伉,
伊,
伍,
伎,
伏,
伐,
休,
伕,夫
伙,夥
伯,
估,
伴,
伶,
伸,抻
伺,
似,
伽,
佃,
但,
佇,伫竚
佈,布
位,
低,仾
住,
佐,
佑,祐
佔,占
何,
佗,它
余,予餘
佛,仏彿
作,
佝,
佞,侫
你,伱妳
佣,傭
佩,
佬,
佯,
佰,百
佳,
併,并並倂𠊧
佻,
佾,
使,
侃,
侄,姪
來,来徠
侈,
例,
侍,
侏,
侖,仑崙
供,
依,
侮,㑄侮
侯,
侵,
侶,侣
侷,局
便,
係,系
促,
俄,
俊,儁
俎,爼
俏,
俐,
俑,
俗,
俘,
俚,
保,
俞,兪
俟,竢
俠,侠
信,伩
俬,私
修,脩
俯,頫
俱,倶
俳,
俵,
俸,
俺,
俾,
倀,伥
倆,俩
倉,仓
個,个箇
倌,
倍,
倏,倐
們,们
倒,
倔,
倖,幸
倘,儻
候,𠋫
倚,
借,藉
倡,
倣,仿
値,值直
倥,
倦,
倨,
倩,
倪,
倫,伦
倭,
值,値
偃,㫃
假,仮
偉,伟
偌,
偎,
偏,
偕,
做,
停,仃
健,徤
側,侧
偵,侦
偶,
偷,偸
偺,咱昝
傀,
傅,
傍,
傑,杰
傖,伧
傘,伞繖
備,备俻偹
傢,家
催,
傭,佣
傯,偬
傲,
傳,传伝
債,债
傷,伤
傻,儍
傾,倾
僅,仅
働,
像,
僑,侨
僕,仆
僖,
僚,
僞,偽伪
僥,侥儌徺
僧,僧
僭,僣
僮,
僱,雇
僵,殭
價,价価
僻,
儀,仪
儁,俊
儂,侬
億,亿
儈,侩
儉,俭倹
儐,傧
儒,
儔,俦
儘,侭尽
償,偿
儡,
優,优
儲,储
儷,俪
儼,俨
兀,
允,
元,
兄,
充,
兆,
兇,凶
先,
